"CUSEC","cod_provincia","nom_provincia","cod_comarca","nom_comarca","cod_municipi","nom_municipi"
"0800101001","08","Barcelona","11","Baix Llobregat","08001","Abrera"
"0800101002","08","Barcelona","11","Baix Llobregat","08001","Abrera"
"0800101003","08","Barcelona","11","Baix Llobregat","08001","Abrera"
"0800101004","08","Barcelona","11","Baix Llobregat","08001","Abrera"
"0800101005","08","Barcelona","11","Baix Llobregat","08001","Abrera"
"0800101007","08","Barcelona","11","Baix Llobregat","08001","Abrera"
"0800101008","08","Barcelona","11","Baix Llobregat","08001","Abrera"
"0800201001","08","Barcelona","07","Bages","08002","Aguilar de Segarra"
"0800301001","08","Barcelona","21","Maresme","08003","Alella"
"0800301002","08","Barcelona","21","Maresme","08003","Alella"
"0800301003","08","Barcelona","21","Maresme","08003","Alella"
"0800301004","08","Barcelona","21","Maresme","08003","Alella"
"0800401001","08","Barcelona","24","Osona","08004","Alpens"
"0800501001","08","Barcelona","41","Vallès Oriental","08005","Ametlla del Vallès, l'"
"0800501002","08","Barcelona","41","Vallès Oriental","08005","Ametlla del Vallès, l'"
"0800501003","08","Barcelona","41","Vallès Oriental","08005","Ametlla del Vallès, l'"
"0800501004","08","Barcelona","41","Vallès Oriental","08005","Ametlla del Vallès, l'"
"0800501005","08","Barcelona","41","Vallès Oriental","08005","Ametlla del Vallès, l'"
"0800601001","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800601002","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800601003","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800601004","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800602001","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800602002","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800602003","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800602004","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800602005","08","Barcelona","21","Maresme","08006","Arenys de Mar"
"0800701001","08","Barcelona","21","Maresme","08007","Arenys de Munt"
"0800701002","08","Barcelona","21","Maresme","08007","Arenys de Munt"
"0800702001","08","Barcelona","21","Maresme","08007","Arenys de Munt"
"0800702002","08","Barcelona","21","Maresme","08007","Arenys de Munt"
"0800801001","08","Barcelona","06","Anoia","08008","Argençola"
"0800901001","08","Barcelona","21","Maresme","08009","Argentona"
"0800901002","08","Barcelona","21","Maresme","08009","Argentona"
"0800901003","08","Barcelona","21","Maresme","08009","Argentona"
"0800901004","08","Barcelona","21","Maresme","08009","Argentona"
"0800901005","08","Barcelona","21","Maresme","08009","Argentona"
"0800901006","08","Barcelona","21","Maresme","08009","Argentona"
"0800902001","08","Barcelona","21","Maresme","08009","Argentona"
"0800902002","08","Barcelona","21","Maresme","08009","Argentona"
"0800902003","08","Barcelona","21","Maresme","08009","Argentona"
"0801001001","08","Barcelona","07","Bages","08010","Artés"
"0801002001","08","Barcelona","07","Bages","08010","Artés"
"0801002002","08","Barcelona","07","Bages","08010","Artés"
"0801002003","08","Barcelona","07","Bages","08010","Artés"
"0801101001","08","Barcelona","14","Berguedà","08011","Avià"
"0801201001","08","Barcelona","07","Bages","08012","Avinyó"
"0801301001","08","Barcelona","03","Alt Penedès","08013","Avinyonet del Penedès"
"0801401001","08","Barcelona","41","Vallès Oriental","08014","Aiguafreda"
"0801501001","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801501002","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801501003","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801501004","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801501005","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801501007","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801502001","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801502002","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801502003","08","Barcelona","13","Barcelonès","08015","Badalona"
"0801502004","08","Barcelona","13","Barcelonès","08015","Badalona"
